Date,Apple
1998-01-02,0.5084
1998-01-05,0.4968
1998-01-06,0.5925
1998-01-07,0.5475
1998-01-08,0.569
1998-01-09,0.569
1998-01-12,0.5709
1998-01-13,0.61
1998-01-14,0.6178
1998-01-15,0.6003
1998-01-16,0.5884
1998-01-20,0.5963
1998-01-21,0.5916
1998-01-22,0.6022
1998-01-23,0.61
1998-01-26,0.6081
1998-01-27,0.5981
1998-01-28,0.6003
1998-01-29,0.5787
1998-01-30,0.5728
1998-02-02,0.5534
1998-02-03,0.5728
1998-02-04,0.5709
1998-02-05,0.5728
1998-02-06,0.5787
1998-02-09,0.6003
1998-02-10,0.6081
1998-02-11,0.5944
1998-02-12,0.606
1998-02-13,0.61
1998-02-17,0.6138
1998-02-18,0.6432
1998-02-19,0.6394
1998-02-20,0.6257
1998-02-23,0.6648
1998-02-24,0.6666
1998-02-25,0.6979
1998-02-26,0.7352
1998-02-27,0.7389
1998-03-02,0.7117
1998-03-03,0.7233
1998-03-04,0.7646
1998-03-05,0.7527
1998-03-06,0.7646
1998-03-09,0.7117
1998-03-10,0.7527
1998-03-11,0.8171
1998-03-12,0.8446
1998-03-13,0.8484
1998-03-16,0.8349
1998-03-17,0.824
1998-03-18,0.8428
1998-03-19,0.8368
1998-03-20,0.8249
1998-03-23,0.8171
1998-03-24,0.8759
1998-03-25,0.8497
1998-03-26,0.8309
1998-03-27,0.8428
1998-03-30,0.8584
1998-03-31,0.8603
1998-04-01,0.8603
1998-04-02,0.8543
1998-04-03,0.8465
1998-04-06,0.8212
1998-04-07,0.7977
1998-04-08,0.7821
1998-04-09,0.8015
1998-04-13,0.8271
1998-04-14,0.8428
1998-04-15,0.8584
1998-04-16,0.8953
1998-04-17,0.8741
1998-04-20,0.9072
1998-04-21,0.9072
1998-04-22,0.8603
1998-04-23,0.8662
1998-04-24,0.8741
1998-04-27,0.8681
1998-04-28,0.8428
1998-04-29,0.8446
1998-04-30,0.8562
1998-05-01,0.8759
1998-05-04,0.9091
1998-05-05,0.9288
1998-05-06,0.9482
1998-05-07,0.9444
1998-05-08,0.9523
1998-05-11,0.9679
1998-05-12,0.9422
1998-05-13,0.9523
1998-05-14,0.9404
1998-05-15,0.9247
1998-05-18,0.8916
1998-05-19,0.9188
1998-05-20,0.9247
1998-05-21,0.9031
1998-05-22,0.8719
1998-05-26,0.8349
1998-05-27,0.8368
1998-05-28,0.8584
1998-05-29,0.8328
1998-06-01,0.8212
1998-06-02,0.8406
1998-06-03,0.8231
1998-06-04,0.8387
1998-06-05,0.8406
1998-06-08,0.8525
1998-06-09,0.8838
1998-06-10,0.8778
1998-06-11,0.87
1998-06-12,0.8797
1998-06-15,0.8603
1998-06-16,0.8759
1998-06-17,0.8797
1998-06-18,0.8543
1998-06-19,0.8465
1998-06-22,0.8562
1998-06-23,0.87
1998-06-24,0.8838
1998-06-25,0.8934
1998-06-26,0.8819
1998-06-29,0.8975
1998-06-30,0.8975
1998-07-01,0.9366
1998-07-02,0.9072
1998-07-06,0.9501
1998-07-07,0.9541
1998-07-08,1.0186
1998-07-09,0.9914
1998-07-10,1.0029
1998-07-13,1.0618
1998-07-14,1.0461
1998-07-15,1.0774
1998-07-16,1.1731
1998-07-17,1.1537
1998-07-20,1.134
1998-07-21,1.1146
1998-07-22,1.0949
1998-07-23,1.093
1998-07-24,1.0852
1998-07-27,1.0774
1998-07-28,1.0521
1998-07-29,1.099
1998-07-30,1.1418
1998-07-31,1.0833
1998-08-03,1.099
1998-08-04,1.0696
1998-08-05,1.1262
1998-08-06,1.1537
1998-08-07,1.1418
1998-08-10,1.1869
1998-08-11,1.22
1998-08-12,1.2532
1998-08-13,1.2338
1998-08-14,1.267
1998-08-17,1.312
1998-08-18,1.3314
1998-08-19,1.2826
1998-08-20,1.271
1998-08-21,1.3452
1998-08-24,1.2886
1998-08-25,1.2767
1998-08-26,1.2632
1998-08-27,1.1731
1998-08-28,1.0696
1998-08-31,0.9757
1998-09-01,1.0677
1998-09-02,1.1124
1998-09-03,1.0833
1998-09-04,1.099
1998-09-08,1.1966
1998-09-09,1.1694
1998-09-10,1.1928
1998-09-11,1.1772
1998-09-14,1.1634
1998-09-15,1.1947
1998-09-16,1.1672
1998-09-17,1.1262
1998-09-18,1.1497
1998-09-21,1.1556
1998-09-22,1.1575
1998-09-23,1.1985
1998-09-24,1.2044
1998-09-25,1.2122
1998-09-28,1.2219
1998-09-29,1.2357
1998-09-30,1.1928
1998-10-01,1.1165
1998-10-02,1.0968
1998-10-05,1.007
1998-10-06,1.0186
1998-10-07,0.9992
1998-10-08,0.9638
1998-10-09,1.099
1998-10-12,1.1712
1998-10-13,1.2122
1998-10-14,1.1694
1998-10-15,1.1459
1998-10-16,1.1478
1998-10-19,1.1731
1998-10-20,1.1281
1998-10-21,1.1615
1998-10-22,1.1497
1998-10-23,1.1106
1998-10-26,1.1712
1998-10-27,1.1027
1998-10-28,1.1515
1998-10-29,1.14
1998-10-30,1.1615
1998-11-02,1.1772
1998-11-03,1.1828
1998-11-04,1.2103
1998-11-05,1.1947
1998-11-06,1.1906
1998-11-09,1.1459
1998-11-10,1.099
1998-11-11,1.0499
1998-11-12,1.0636
1998-11-13,1.1165
1998-11-16,1.1262
1998-11-17,1.089
1998-11-18,1.1087
1998-11-19,1.1184
1998-11-20,1.1046
1998-11-23,1.134
1998-11-24,1.1243
1998-11-25,1.099
1998-11-27,1.0968
1998-11-30,0.9992
1998-12-01,1.0677
1998-12-02,1.1262
1998-12-03,1.0539
1998-12-04,1.0245
1998-12-07,1.0558
1998-12-08,1.0029
1998-12-09,1.0011
1998-12-10,1.0011
1998-12-11,1.0558
1998-12-14,1.0167
1998-12-15,1.0499
1998-12-16,1.0264
1998-12-17,1.0461
1998-12-18,1.1009
1998-12-21,1.0968
1998-12-22,1.1888
1998-12-23,1.2454
1998-12-24,1.2279
1998-12-28,1.2789
1998-12-29,1.2767
1998-12-30,1.2532
1998-12-31,1.2807
1999-01-04,1.2904
1999-01-05,1.3549
1999-01-06,1.3061
1999-01-07,1.4077
1999-01-08,1.4077
1999-01-11,1.4353
1999-01-12,1.4431
1999-01-13,1.4547
1999-01-14,1.2945
1999-01-15,1.2923
1999-01-19,1.2789
1999-01-20,1.2688
1999-01-21,1.2141
1999-01-22,1.2122
1999-01-25,1.2319
1999-01-26,1.267
1999-01-27,1.2554
1999-01-28,1.2789
